"age","job","marital","education","default","balance","housing","loan","poutcome","y"
"50s","blue-collar","married","primary","no","Negative","yes","no","unknown","no"
"20s","technician","single","secondary","yes","Negative","no","yes","unknown","no"
"30s","blue-collar","married","primary","no","Low","no","yes","unknown","no"
"30s","admin.","married","secondary","no","Negative","yes","yes","unknown","no"
"20s","blue-collar","married","secondary","no","Negative","no","no","unknown","no"
"50s","services","married","secondary","no","Medium","no","no","unknown","no"
"20s","services","single","secondary","no","Negative","no","yes","unknown","no"
"40s","management","married","tertiary","no","Low","yes","no","unknown","no"
"30s","self-employed","married","tertiary","no","Negative","yes","no","unknown","no"
"30s","blue-collar","single","primary","no","Medium","no","no","unknown","no"
"50s","retired","divorced","secondary","no","Low","no","yes","unknown","no"
"40s","management","married","tertiary","no","Low","yes","no","unknown","no"
"40s","blue-collar","divorced","primary","no","Negative","no","yes","unknown","no"
"50s","retired","divorced","tertiary","no","Low","no","no","unknown","no"
"30s","technician","married","tertiary","no","Medium","yes","no","unknown","no"
"40s","blue-collar","divorced","secondary","no","Medium","yes","no","unknown","no"
"20s","services","married","secondary","no","Low","no","yes","unknown","no"
"50s","retired","married","tertiary","no","Low","no","no","unknown","no"
"50s","retired","divorced","secondary","no","Negative","yes","no","unknown","no"
"30s","admin.","married","secondary","no","Negative","yes","no","unknown","no"
"30s","management","single","tertiary","no","Low","no","yes","unknown","no"
"40s","technician","married","secondary","no","Medium","yes","no","unknown","no"
"40s","blue-collar","married","secondary","no","High","yes","no","unknown","yes"
"50s","blue-collar","divorced","primary","no","Medium","yes","no","unknown","no"
"20s","blue-collar","single","secondary","no","Low","no","no","unknown","no"
"50s","admin.","divorced","primary","no","Negative","no","yes","unknown","no"
"40s","unknown","married","secondary","no","Low","yes","no","unknown","no"
"30s","blue-collar","divorced","secondary","no","Low","yes","yes","unknown","no"
"40s","blue-collar","married","secondary","no","Low","yes","yes","unknown","no"
"30s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"40s","management","married","tertiary","no","Negative","yes","no","unknown","no"
"30s","management","married","tertiary","no","Low","yes","yes","unknown","no"
"50s","management","married","tertiary","no","Medium","yes","yes","unknown","no"
"30s","admin.","divorced","secondary","no","Negative","no","no","unknown","no"
"40s","blue-collar","married","primary","no","Medium","yes","no","unknown","no"
"30s","admin.","divorced","secondary","no","Low","yes","no","unknown","no"
"50s","services","married","primary","no","Low","no","yes","unknown","no"
"30s","services","single","secondary","no","Negative","no","no","unknown","no"
"50s","admin.","single","secondary","no","Low","no","no","unknown","no"
"30s","technician","single","secondary","no","Negative","no","no","unknown","no"
"30s","management","divorced","tertiary","no","Low","yes","no","unknown","no"
"50s","retired","married","primary","no","Low","no","yes","unknown","no"
"30s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"50s","services","divorced","secondary","no","Low","no","no","unknown","no"
"30s","admin.","single","secondary","no","Negative","no","yes","unknown","no"
"50s","admin.","divorced","secondary","no","Low","no","yes","unknown","no"
"30s","blue-collar","married","secondary","no","Medium","no","no","unknown","no"
"30s","management","married","tertiary","no","Low","no","no","unknown","no"
"30s","entrepreneur","married","tertiary","no","Low","yes","no","unknown","no"
"30s","blue-collar","single","secondary","no","Negative","no","no","unknown","no"
"40s","entrepreneur","divorced","tertiary","no","Low","yes","no","unknown","no"
"50s","admin.","divorced","secondary","no","Low","no","yes","unknown","no"
"40s","blue-collar","married","secondary","no","Medium","yes","yes","unknown","no"
"30s","blue-collar","married","primary","no","Negative","yes","no","unknown","no"
"30s","admin.","single","secondary","no","Low","yes","no","unknown","no"
"40s","entrepreneur","divorced","secondary","no","Negative","yes","no","unknown","no"
"30s","management","married","tertiary","no","Extra","yes","no","unknown","no"
"50s","admin.","married","secondary","no","Low","yes","no","unknown","no"
"30s","blue-collar","married","secondary","no","Low","no","no","unknown","no"
"30s","management","single","tertiary","no","Medium","yes","no","unknown","no"
"30s","admin.","divorced","secondary","no","Negative","no","no","unknown","no"
"30s","blue-collar","single","secondary","no","Medium","yes","no","unknown","no"
"30s","blue-collar","single","secondary","no","Negative","yes","no","unknown","no"
"30s","self-employed","married","tertiary","no","Low","no","no","unknown","no"
"30s","admin.","married","secondary","no","Low","yes","no","unknown","no"
"30s","technician","single","secondary","no","Low","yes","yes","unknown","no"
"30s","housemaid","married","primary","no","Low","yes","no","unknown","no"
"20s","admin.","single","secondary","no","Low","no","no","unknown","no"
"30s","services","married","secondary","no","Low","yes","no","unknown","no"
"30s","services","divorced","secondary","no","Low","yes","no","unknown","no"
"30s","management","married","tertiary","no","Low","yes","no","unknown","no"
"30s","management","married","tertiary","no","Negative","no","no","unknown","no"
"30s","blue-collar","married","secondary","no","Medium","no","no","unknown","no"
"30s","technician","married","secondary","no","Negative","yes","yes","unknown","no"
"50s","retired","divorced","tertiary","no","Medium","no","no","unknown","no"
"40s","blue-collar","married","primary","no","Negative","yes","yes","unknown","no"
"40s","housemaid","married","primary","no","Low","no","no","unknown","no"
"30s","blue-collar","married","primary","no","Low","yes","yes","unknown","no"
"50s","retired","divorced","secondary","no","Low","yes","yes","unknown","no"
"50s","self-employed","married","secondary","no","High","no","no","unknown","no"
"30s","technician","married","secondary","no","Negative","yes","yes","unknown","no"
"20s","services","single","secondary","no","Low","yes","no","unknown","no"
"20s","self-employed","single","secondary","no","Medium","no","no","unknown","no"
"20s","admin.","single","secondary","no","Negative","no","yes","unknown","yes"
"40s","admin.","married","secondary","no","Negative","yes","no","unknown","no"
"50s","management","married","tertiary","no","Low","no","yes","unknown","no"
"20s","unemployed","married","tertiary","no","Low","no","yes","unknown","no"
"40s","unemployed","married","tertiary","no","Negative","yes","no","unknown","no"
"50s","housemaid","married","secondary","no","Low","yes","no","unknown","no"
"20s","technician","single","tertiary","no","Low","yes","no","unknown","no"
"50s","admin.","married","secondary","no","Low","no","no","unknown","no"
"50s","retired","married","tertiary","no","Low","no","no","unknown","no"
"50s","management","married","tertiary","no","Low","no","no","unknown","no"
"50s","retired","married","primary","no","Low","no","yes","unknown","no"
"50s","retired","married","secondary","no","Medium","no","no","unknown","no"
"40s","technician","married","secondary","no","Medium","yes","no","unknown","no"
"50s","retired","divorced","primary","no","Low","no","yes","unknown","no"
"20s","blue-collar","single","secondary","no","Low","no","no","unknown","no"
"20s","technician","single","secondary","no","Medium","no","yes","unknown","no"
"30s","services","divorced","secondary","no","Negative","no","no","unknown","no"
"50s","blue-collar","divorced","unknown","no","Low","yes","no","unknown","no"
"20s","blue-collar","married","secondary","no","Low","yes","yes","unknown","yes"
"30s","admin.","married","secondary","no","Medium","yes","yes","unknown","no"
"20s","entrepreneur","married","secondary","no","Medium","no","yes","unknown","no"
"20s","blue-collar","single","secondary","no","Medium","no","yes","unknown","yes"
"20s","blue-collar","single","secondary","no","Medium","yes","no","unknown","yes"
"50s","management","married","tertiary","no","Negative","yes","no","unknown","no"
"30s","admin.","married","secondary","no","Low","yes","yes","unknown","no"
"50s","blue-collar","married","secondary","no","Low","yes","yes","unknown","no"
"20s","admin.","single","secondary","no","Low","no","yes","unknown","no"
"30s","housemaid","married","secondary","no","Negative","yes","no","unknown","no"
"30s","management","married","tertiary","no","Medium","yes","no","unknown","no"
"30s","blue-collar","married","secondary","no","Negative","no","no","unknown","no"
"40s","admin.","married","secondary","no","Medium","yes","no","unknown","no"
"30s","services","divorced","secondary","no","Low","no","no","unknown","no"
"40s","blue-collar","married","primary","no","Low","yes","no","unknown","no"
"30s","blue-collar","divorced","secondary","yes","Negative","yes","no","unknown","no"
"20s","services","married","secondary","no","Low","no","yes","unknown","yes"
"40s","services","married","secondary","no","Low","yes","no","unknown","yes"
"30s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"40s","admin.","married","secondary","no","Medium","no","yes","unknown","no"
"50s","technician","married","secondary","no","Low","yes","no","unknown","no"
"50s","management","divorced","tertiary","no","Negative","no","no","unknown","no"
"50s","admin.","divorced","secondary","no","Low","no","no","unknown","yes"
"30s","management","married","tertiary","no","Medium","yes","no","unknown","yes"
"30s","management","married","secondary","no","High","no","yes","unknown","no"
"20s","blue-collar","single","secondary","no","Low","yes","no","unknown","no"
"50s","technician","married","secondary","no","Negative","no","yes","unknown","yes"
"20s","technician","married","tertiary","no","Medium","no","yes","unknown","no"
"30s","blue-collar","married","secondary","no","Negative","no","yes","unknown","no"
"30s","management","single","tertiary","no","Medium","yes","no","unknown","no"
"50s","management","married","secondary","no","Negative","no","yes","unknown","no"
"20s","admin.","married","secondary","no","Low","yes","yes","unknown","no"
"40s","blue-collar","married","secondary","yes","Negative","no","yes","unknown","no"
"40s","retired","married","primary","no","Low","no","no","unknown","no"
"20s","blue-collar","single","primary","no","Medium","no","no","unknown","yes"
"30s","housemaid","single","primary","no","Low","yes","no","unknown","no"
"50s","technician","married","secondary","no","Low","no","no","unknown","no"
"30s","unemployed","single","tertiary","yes","Negative","yes","no","unknown","no"
"20s","technician","married","tertiary","no","Medium","yes","yes","unknown","no"
"30s","services","married","secondary","no","Low","no","yes","unknown","no"
"40s","services","married","secondary","yes","Low","yes","no","unknown","no"
"40s","entrepreneur","divorced","tertiary","no","Low","no","no","unknown","no"
"40s","blue-collar","married","primary","no","Low","no","yes","unknown","no"
"40s","admin.","single","secondary","no","Negative","yes","no","unknown","no"
"50s","blue-collar","single","tertiary","yes","Negative","no","yes","unknown","no"
"20s","services","married","secondary","no","Low","yes","no","unknown","no"
"40s","blue-collar","married","secondary","no","Negative","no","yes","unknown","no"
"50s","technician","divorced","secondary","no","Low","no","yes","unknown","no"
"40s","blue-collar","married","primary","no","Low","no","yes","unknown","no"
"20s","technician","married","tertiary","no","Low","no","no","unknown","no"
"40s","technician","married","secondary","no","Low","yes","no","unknown","no"
"40s","technician","married","tertiary","no","Medium","yes","no","unknown","no"
"20s","technician","single","secondary","no","Negative","no","yes","unknown","no"
"30s","admin.","divorced","secondary","no","Low","yes","yes","unknown","no"
"20s","blue-collar","single","secondary","no","High","no","yes","unknown","no"
"40s","blue-collar","married","primary","no","Low","yes","yes","unknown","no"
"30s","services","married","secondary","no","Low","yes","yes","unknown","no"
"30s","services","married","secondary","no","Low","no","yes","unknown","no"
"40s","blue-collar","married","primary","no","Medium","no","no","unknown","no"
"40s","blue-collar","married","primary","no","Low","yes","yes","unknown","no"
"50s","self-employed","married","tertiary","no","Low","yes","no","unknown","no"
"40s","retired","married","primary","no","Negative","no","no","unknown","no"
"40s","blue-collar","married","primary","no","Negative","yes","yes","unknown","no"
"40s","blue-collar","married","primary","no","Low","no","no","unknown","no"
"20s","student","single","secondary","no","Low","yes","no","unknown","no"
"30s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"40s","technician","married","secondary","no","Low","yes","no","unknown","no"
"30s","services","single","secondary","no","Low","yes","no","unknown","no"
"30s","management","single","tertiary","no","Low","no","yes","unknown","no"
"30s","admin.","married","secondary","no","Low","no","no","unknown","no"
"30s","blue-collar","married","secondary","no","Low","no","yes","unknown","no"
"40s","technician","married","secondary","no","Low","yes","yes","unknown","no"
"50s","housemaid","married","primary","no","Low","yes","no","unknown","no"
"20s","blue-collar","married","secondary","no","Negative","yes","yes","unknown","yes"
"50s","unemployed","married","primary","no","Low","no","yes","unknown","no"
"20s","services","single","secondary","no","Low","no","yes","unknown","no"
"20s","management","single","tertiary","no","Low","no","no","unknown","yes"
"30s","services","divorced","secondary","no","Low","no","no","unknown","no"
"40s","blue-collar","married","primary","no","Low","yes","yes","unknown","no"
"40s","blue-collar","married","primary","no","Low","no","no","unknown","no"
"20s","technician","single","secondary","no","Medium","no","yes","unknown","no"
"20s","services","single","secondary","no","Low","no","no","unknown","no"
"30s","blue-collar","married","secondary","no","Low","no","no","unknown","no"
"30s","student","married","primary","no","Low","yes","no","unknown","yes"
"50s","blue-collar","married","secondary","no","Low","no","yes","unknown","no"
"50s","technician","married","secondary","no","Low","yes","no","unknown","no"
"30s","management","married","tertiary","no","Low","no","no","unknown","no"
"40s","management","married","tertiary","no","Low","yes","yes","unknown","no"
"30s","management","single","tertiary","no","Low","no","no","unknown","no"
"30s","blue-collar","single","secondary","no","Low","yes","yes","unknown","no"
"30s","blue-collar","single","primary","no","Medium","no","no","unknown","no"
"30s","management","married","tertiary","no","Medium","yes","no","unknown","no"
"30s","blue-collar","divorced","secondary","no","Low","no","yes","unknown","no"
"20s","blue-collar","single","secondary","no","Low","no","yes","unknown","yes"
"30s","unknown","single","primary","no","Medium","no","no","unknown","no"
"20s","student","single","tertiary","no","Negative","no","no","unknown","no"
"40s","entrepreneur","married","primary","no","Medium","no","no","unknown","no"
"50s","technician","married","unknown","no","Medium","no","no","unknown","no"
"50s","entrepreneur","married","secondary","no","Negative","yes","no","unknown","no"
"20s","entrepreneur","married","tertiary","no","Negative","no","no","unknown","no"
"20s","management","married","tertiary","no","High","no","no","unknown","no"
"50s","blue-collar","married","primary","no","Low","no","no","unknown","no"
"40s","technician","married","secondary","no","Low","no","no","unknown","no"
"30s","admin.","married","secondary","no","Extra","no","no","unknown","no"
"30s","services","married","primary","no","Low","yes","no","unknown","no"
"40s","blue-collar","married","primary","no","Low","yes","no","unknown","no"
"30s","housemaid","married","primary","no","Medium","no","no","unknown","no"
"20s","admin.","married","secondary","no","Low","no","yes","unknown","no"
"40s","technician","single","secondary","no","Negative","yes","yes","unknown","no"
"20s","admin.","single","tertiary","no","Low","no","yes","unknown","no"
"40s","self-employed","married","secondary","no","Negative","yes","no","unknown","no"
"40s","management","married","tertiary","no","Low","yes","no","unknown","no"
"50s","blue-collar","single","primary","no","Low","no","yes","unknown","no"
"30s","management","married","tertiary","no","Negative","no","no","unknown","no"
"50s","management","married","tertiary","no","Negative","yes","no","unknown","no"
"30s","admin.","married","secondary","no","Low","yes","no","unknown","no"
"30s","technician","married","secondary","no","Medium","yes","no","unknown","no"
"30s","management","married","tertiary","no","Medium","yes","no","unknown","no"
"20s","management","married","tertiary","no","Low","no","yes","unknown","no"
"20s","blue-collar","single","secondary","no","Low","yes","no","unknown","no"
"30s","blue-collar","married","secondary","no","Low","yes","yes","unknown","no"
"50s","management","divorced","tertiary","no","Medium","yes","no","unknown","no"
"30s","self-employed","married","primary","no","Low","no","no","unknown","no"
"30s","self-employed","married","secondary","no","Low","yes","no","unknown","yes"
"30s","technician","single","secondary","no","Low","yes","no","unknown","no"
"20s","housemaid","married","secondary","no","Negative","yes","no","unknown","no"
"50s","management","married","tertiary","no","Low","no","no","unknown","no"
"20s","services","single","secondary","no","Low","yes","no","unknown","no"
"30s","management","married","tertiary","no","Negative","yes","no","unknown","no"
"30s","admin.","married","secondary","no","Negative","yes","no","unknown","no"
"30s","technician","married","secondary","no","Negative","yes","no","unknown","no"
"30s","blue-collar","married","secondary","no","Negative","yes","yes","unknown","no"
"50s","admin.","divorced","tertiary","no","Low","no","no","unknown","no"
"30s","technician","married","secondary","no","Low","yes","yes","unknown","no"
"30s","technician","single","secondary","no","Medium","yes","no","unknown","no"
"50s","technician","married","secondary","no","Negative","yes","no","unknown","no"
"30s","blue-collar","single","secondary","no","Medium","yes","no","unknown","no"
"30s","management","married","tertiary","no","Low","yes","no","unknown","no"
"30s","blue-collar","married","primary","no","Low","no","no","unknown","no"
"30s","services","married","secondary","no","Low","yes","no","unknown","no"
"30s","management","single","tertiary","no","Medium","yes","no","unknown","no"
"50s","technician","divorced","secondary","no","Low","yes","no","unknown","no"
"20s","admin.","married","secondary","no","Low","yes","no","unknown","no"
"30s","technician","divorced","secondary","no","Negative","yes","no","unknown","no"
"30s","management","single","tertiary","no","Medium","yes","no","unknown","no"
"30s","technician","married","tertiary","no","Low","yes","no","unknown","no"
"30s","blue-collar","single","secondary","no","Low","no","no","unknown","no"
"30s","admin.","single","secondary","no","Low","no","no","unknown","no"
"50s","technician","divorced","secondary","no","Low","yes","yes","unknown","no"
"30s","technician","married","secondary","no","Low","no","no","unknown","no"
"40s","services","divorced","secondary","no","Negative","yes","no","unknown","no"
"30s","management","married","tertiary","no","Negative","yes","yes","unknown","no"
"20s","admin.","single","primary","no","Low","yes","yes","unknown","no"
"30s","entrepreneur","married","tertiary","no","Negative","yes","yes","unknown","no"
"50s","housemaid","married","secondary","no","Low","no","no","unknown","no"
"20s","entrepreneur","single","tertiary","no","Low","no","no","unknown","no"
"30s","blue-collar","single","secondary","no","Negative","no","no","unknown","no"
"40s","services","married","secondary","no","Negative","yes","no","unknown","no"
"30s","management","married","tertiary","no","Low","yes","no","unknown","no"
"50s","technician","married","secondary","no","Low","yes","no","unknown","no"
"40s","technician","married","secondary","no","Negative","yes","no","unknown","no"
"30s","management","single","tertiary","no","Low","no","no","unknown","no"
"50s","management","married","tertiary","no","Negative","no","yes","unknown","no"
"50s","services","divorced","primary","no","Low","no","yes","unknown","no"
"40s","services","married","secondary","no","Low","no","no","unknown","no"
"40s","admin.","divorced","secondary","no","Medium","yes","no","unknown","no"
"20s","admin.","single","secondary","no","Low","no","yes","unknown","no"
"30s","technician","single","secondary","no","Low","yes","no","unknown","no"
"40s","management","married","tertiary","no","Low","yes","no","unknown","no"
"40s","blue-collar","married","primary","no","Low","no","yes","unknown","no"
"40s","technician","married","secondary","no","Negative","yes","yes","unknown","no"
"40s","housemaid","married","secondary","no","Negative","no","no","unknown","no"
"50s","management","married","tertiary","no","Low","no","yes","unknown","no"
"30s","technician","married","secondary","no","Low","yes","no","unknown","no"
"30s","technician","married","secondary","no","Negative","yes","no","unknown","no"
"50s","self-employed","single","tertiary","no","Negative","yes","no","unknown","no"
"50s","blue-collar","married","secondary","no","Low","no","no","unknown","no"
"30s","housemaid","divorced","secondary","no","Negative","yes","no","unknown","no"
"50s","management","single","tertiary","no","Low","no","yes","unknown","no"
"30s","housemaid","divorced","primary","no","Low","yes","no","unknown","no"
"20s","management","married","tertiary","no","Low","yes","no","unknown","no"
"40s","services","married","secondary","no","Medium","no","no","unknown","no"
"40s","entrepreneur","married","tertiary","no","Low","yes","yes","unknown","no"
"30s","technician","married","unknown","no","Low","yes","no","unknown","no"
"30s","technician","single","secondary","no","Low","no","yes","unknown","no"
"50s","retired","married","secondary","no","Low","no","no","unknown","no"
"50s","admin.","married","secondary","no","Medium","yes","no","unknown","no"
"30s","entrepreneur","married","secondary","no","Negative","yes","no","unknown","no"
"50s","admin.","divorced","secondary","no","Low","no","yes","unknown","no"
"40s","technician","divorced","secondary","no","Medium","no","yes","unknown","no"
"50s","retired","married","secondary","no","Low","yes","no","unknown","no"
"40s","blue-collar","married","secondary","no","Medium","yes","no","unknown","yes"
"20s","admin.","married","secondary","no","Low","no","yes","unknown","no"
"30s","services","single","secondary","no","Low","yes","no","unknown","no"
"30s","self-employed","married","secondary","no","Low","no","no","unknown","no"
"50s","technician","married","secondary","no","Low","no","no","unknown","no"
"50s","unemployed","married","tertiary","no","Low","no","yes","unknown","no"
"20s","blue-collar","married","primary","no","Low","no","yes","unknown","no"
"30s","blue-collar","married","secondary","no","Low","no","yes","unknown","no"
"30s","admin.","married","secondary","no","Low","yes","no","unknown","no"
"30s","admin.","married","secondary","no","Low","yes","no","unknown","no"
"30s","self-employed","married","tertiary","no","Medium","yes","no","unknown","no"
"40s","admin.","married","primary","no","Low","yes","yes","unknown","no"
"40s","admin.","married","secondary","no","Low","yes","yes","unknown","no"
"30s","blue-collar","married","secondary","yes","Negative","yes","yes","unknown","no"
"30s","admin.","divorced","secondary","no","Low","no","no","unknown","no"
"40s","entrepreneur","married","secondary","no","Negative","yes","no","unknown","no"
"30s","admin.","married","secondary","no","Medium","yes","no","unknown","no"
"30s","services","single","primary","no","Low","no","yes","unknown","yes"
"30s","entrepreneur","married","primary","no","Negative","yes","no","unknown","no"
"40s","housemaid","married","primary","no","Negative","no","yes","unknown","no"
"40s","technician","married","secondary","no","Negative","yes","no","unknown","no"
"40s","technician","married","tertiary","no","Low","yes","no","unknown","no"
"30s","admin.","married","tertiary","no","Negative","yes","yes","unknown","no"
"40s","admin.","divorced","secondary","no","Negative","no","yes","unknown","no"
"40s","services","married","secondary","yes","Negative","yes","no","unknown","no"
"40s","blue-collar","married","primary","no","Negative","no","no","unknown","no"
"40s","admin.","married","unknown","no","Low","no","no","unknown","no"
"50s","management","married","tertiary","no","Negative","yes","yes","unknown","no"
"40s","technician","married","secondary","no","Negative","yes","no","unknown","no"
"40s","technician","single","secondary","no","Low","yes","no","unknown","no"
"50s","retired","married","secondary","no","Low","no","no","unknown","no"
"30s","management","single","tertiary","no","Negative","no","yes","unknown","no"
"50s","housemaid","married","primary","no","Negative","yes","yes","unknown","no"
"40s","technician","married","tertiary","no","Low","yes","no","unknown","no"
"20s","services","single","secondary","no","Negative","yes","no","unknown","no"
"50s","housemaid","divorced","primary","no","Negative","no","no","unknown","no"
"50s","entrepreneur","married","tertiary","no","Low","no","yes","unknown","no"
"50s","services","married","secondary","no","Low","yes","yes","unknown","no"
"40s","management","married","tertiary","no","Low","yes","no","unknown","no"
"50s","admin.","married","secondary","no","Negative","yes","no","unknown","no"
"30s","admin.","single","secondary","no","Low","no","no","unknown","no"
"30s","self-employed","married","secondary","no","Low","yes","no","unknown","no"
"20s","blue-collar","married","primary","no","Low","yes","no","unknown","no"
"40s","management","married","tertiary","no","Low","no","yes","unknown","no"
"30s","technician","single","tertiary","no","Negative","no","yes","unknown","no"
"30s","services","married","secondary","no","Negative","yes","yes","unknown","no"
"40s","housemaid","married","primary","no","Low","yes","no","unknown","no"
"40s","management","married","tertiary","no","Medium","yes","no","unknown","no"
"50s","retired","divorced","secondary","no","Medium","no","no","unknown","yes"
"50s","management","married","tertiary","no","Medium","yes","no","unknown","yes"
"50s","blue-collar","single","primary","no","Negative","no","no","unknown","no"
"30s","entrepreneur","married","tertiary","no","Low","no","no","unknown","no"
"20s","management","single","tertiary","no","Low","yes","no","unknown","yes"
"40s","blue-collar","single","secondary","no","Negative","yes","no","unknown","no"
"50s","management","divorced","secondary","no","Low","yes","no","unknown","yes"
"30s","blue-collar","married","primary","no","Negative","yes","no","unknown","no"
"30s","management","married","tertiary","no","Low","yes","no","unknown","no"
"50s","services","married","secondary","no","Low","yes","no","unknown","no"
"40s","admin.","married","secondary","no","Low","no","yes","unknown","no"
"30s","management","single","unknown","no","Medium","yes","no","unknown","yes"
"40s","blue-collar","divorced","primary","no","Negative","no","no","unknown","no"
"30s","management","married","tertiary","no","Medium","yes","no","unknown","no"
"20s","entrepreneur","married","secondary","no","Negative","no","yes","unknown","no"
"50s","retired","married","secondary","no","Medium","no","yes","unknown","no"
"50s","management","married","tertiary","no","Low","yes","no","unknown","no"
"50s","technician","divorced","tertiary","no","Medium","yes","yes","unknown","no"
"40s","admin.","single","secondary","no","Low","yes","no","unknown","no"
"50s","retired","married","unknown","no","Low","yes","no","unknown","no"
"30s","entrepreneur","divorced","tertiary","no","Medium","yes","no","unknown","no"
"30s","admin.","married","secondary","no","Medium","yes","no","unknown","no"
"30s","services","married","secondary","no","Negative","yes","no","unknown","no"
"30s","management","divorced","secondary","no","Medium","yes","no","unknown","no"
"20s","housemaid","single","secondary","no","Low","no","no","unknown","no"
"30s","housemaid","married","primary","no","Low","yes","no","unknown","no"
"30s","admin.","divorced","secondary","no","Low","no","no","unknown","no"
"50s","retired","married","secondary","no","Medium","yes","no","unknown","no"
"30s","management","married","tertiary","no","Low","yes","no","unknown","no"
"40s","technician","married","secondary","no","Low","no","yes","unknown","no"
"50s","blue-collar","divorced","primary","no","Low","no","yes","unknown","no"
"20s","blue-collar","married","primary","no","Low","no","no","unknown","no"
"40s","technician","single","tertiary","no","Medium","yes","no","unknown","no"
"30s","admin.","single","secondary","no","Negative","yes","yes","unknown","no"
"30s","technician","married","secondary","no","Negative","no","no","unknown","no"
"50s","retired","married","primary","no","Negative","yes","no","unknown","no"
"30s","services","married","tertiary","no","Low","yes","no","unknown","no"
"50s","housemaid","married","primary","no","Low","yes","no","unknown","no"
"40s","self-employed","married","tertiary","no","Low","yes","no","unknown","no"
"30s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"40s","services","married","primary","no","Low","yes","yes","unknown","no"
"30s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"40s","technician","married","secondary","no","Negative","yes","no","unknown","no"
"40s","services","married","secondary","no","Negative","no","no","unknown","no"
"30s","technician","single","tertiary","no","Low","no","yes","unknown","no"
"30s","services","single","secondary","no","Negative","no","yes","unknown","no"
"30s","management","married","tertiary","no","Medium","no","no","unknown","no"
"30s","blue-collar","married","secondary","no","Medium","yes","no","unknown","no"
"30s","entrepreneur","married","primary","no","Negative","yes","no","unknown","no"
"30s","technician","married","unknown","no","Low","no","no","unknown","no"
"40s","blue-collar","married","unknown","no","Low","yes","yes","unknown","no"
"30s","services","single","primary","yes","Negative","yes","yes","unknown","no"
"50s","management","married","primary","no","Medium","yes","no","unknown","no"
"20s","admin.","single","secondary","no","Medium","no","no","unknown","no"
"40s","admin.","married","secondary","no","Medium","yes","no","unknown","yes"
"30s","technician","married","secondary","no","Low","yes","no","unknown","no"
"40s","services","married","secondary","no","Low","no","yes","unknown","no"
"20s","admin.","single","secondary","no","Low","no","yes","unknown","no"
"30s","blue-collar","married","primary","no","Negative","yes","no","unknown","no"
"30s","entrepreneur","married","tertiary","no","Low","yes","no","unknown","no"
"30s","blue-collar","married","secondary","no","Low","no","yes","unknown","no"
"40s","housemaid","married","unknown","no","Low","yes","no","unknown","no"
"30s","services","married","unknown","no","Low","no","no","unknown","no"
"30s","management","divorced","tertiary","no","Low","yes","no","unknown","no"
"30s","management","married","tertiary","no","Low","yes","yes","unknown","no"
"30s","services","married","secondary","no","Low","no","no","unknown","no"
"20s","services","married","secondary","no","Low","yes","no","unknown","no"
"20s","management","single","tertiary","no","Low","no","no","unknown","no"
"40s","technician","married","secondary","no","Medium","yes","no","unknown","yes"
"30s","blue-collar","divorced","secondary","no","Low","yes","yes","unknown","no"
"20s","admin.","married","secondary","no","Low","yes","yes","unknown","no"
"40s","management","married","secondary","yes","Negative","yes","no","unknown","no"
"30s","admin.","married","secondary","no","Negative","yes","no","unknown","yes"
"50s","admin.","divorced","unknown","no","Low","no","no","unknown","yes"
"40s","blue-collar","married","secondary","no","Low","no","no","unknown","no"
"30s","blue-collar","married","secondary","no","Negative","yes","no","unknown","no"
"40s","blue-collar","married","primary","no","Medium","yes","no","unknown","no"
"40s","technician","divorced","secondary","yes","Low","yes","no","unknown","no"
"30s","management","married","secondary","no","Negative","no","yes","unknown","no"
"30s","management","married","tertiary","no","Negative","yes","no","unknown","no"
"30s","technician","married","secondary","no","Low","yes","yes","unknown","no"
"40s","admin.","married","secondary","no","Negative","yes","no","unknown","no"
"20s","services","married","secondary","no","Low","yes","no","unknown","no"
"30s","blue-collar","married","secondary","no","Medium","yes","no","unknown","no"
"50s","technician","married","secondary","no","Medium","no","no","unknown","no"
"40s","management","married","secondary","no","Medium","yes","no","unknown","no"
"30s","admin.","married","secondary","no","Low","yes","no","unknown","no"
"50s","admin.","married","secondary","no","Low","yes","yes","unknown","no"
"30s","blue-collar","married","secondary","yes","Negative","yes","yes","unknown","no"
"30s","technician","married","secondary","no","Negative","no","no","unknown","no"
"40s","blue-collar","married","primary","no","Medium","no","yes","unknown","no"
"50s","services","divorced","secondary","no","Low","no","no","unknown","no"
"30s","management","single","tertiary","no","Low","yes","yes","unknown","no"
"20s","services","single","secondary","no","Negative","no","yes","unknown","no"
"40s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"30s","management","married","tertiary","no","Medium","yes","no","unknown","no"
"20s","blue-collar","single","secondary","no","Negative","yes","no","unknown","no"
"40s","services","married","primary","no","Low","no","no","unknown","no"
"50s","blue-collar","single","primary","yes","Negative","no","no","unknown","no"
"20s","technician","married","tertiary","no","Low","yes","yes","unknown","no"
"30s","admin.","divorced","secondary","no","Low","yes","no","unknown","no"
